well_id,fold,n_rows,hidden_length,model_rmse,anchor_rmse,rmse_improvement_vs_anchor,model_mae,model_bias,model_p95_abs_error
1b1eba53,0,4655,4655,68.3549366094438,70.63937461968057,2.2844380102367694,64.06103208569846,-64.06103208569846,93.7005246534276
86454a6f,4,7964,7964,57.834726302916714,70.26338513734783,12.428658834431111,53.66447566032158,-53.632078664063386,73.48541199238207
a959858c,4,4404,4404,55.65249884473983,65.35865899088088,9.706160146141052,53.503150063440486,-53.503150063440486,80.9619091774639
896d15b9,1,4279,4279,54.79310042608095,29.78460727060298,-25.008493155477968,45.954293692023235,-45.80122273172659,84.27696005006109
389ae58f,3,6463,6463,52.05256320084387,49.76304894845995,-2.289514252383924,49.81218595810897,-49.81218595810897,72.7962845610791
727a3a10,2,4397,4397,50.20492992879184,12.36395803493887,-37.84097189385297,47.67963501257395,47.67963501257395,68.24205391023824
2fd68f7b,4,4730,4730,46.5610695795055,60.74015262396321,14.179083044457713,42.4840447147455,-42.38788500913023,61.14371442117063
f88ddb26,2,4990,4990,44.58451615623295,51.40308485650886,6.818568700275911,39.66210560019861,39.66210560019861,68.07257674456369
94d813a4,4,4847,4847,44.422317689575145,36.730942118502206,-7.691375571072939,38.66902097817834,38.66902097817834,64.57296198038894
42c538a1,1,3279,3279,43.678388230937806,26.18883109705342,-17.489557133884386,37.608698090388344,-36.91535109923335,69.01343536637741
5f4d2a52,3,5225,5225,43.51400651944994,56.914917258531396,13.400910739081453,34.15565388784252,-32.73875531309895,73.69898817431242
c8d9680c,0,6281,6281,42.456509386144816,42.77043899776709,0.31392961162227095,39.296192408797026,-38.6769700259964,54.9524233861157
0390d174,1,4411,4411,42.380757528843425,8.517417217402954,-33.86334031144047,38.4316917078312,38.4316917078312,56.83539492120417
25050f63,3,6124,6124,40.24330199016659,37.996607342363916,-2.246694647802677,39.050530074405536,-39.050530074405536,50.94807648002206
91b301ce,3,6570,6570,40.224049329409084,35.315076932980844,-4.90897239642824,27.295206643829548,21.159950635421435,89.46859454218209
ba48188d,4,4166,4166,39.59388733169071,50.93720227649117,11.343314944800461,30.48027053459781,30.47754650296378,76.02146714175615
a6f967fb,3,4670,4670,38.94394012853926,13.762814229045636,-25.181125899493622,37.20498713643654,37.20498713643654,48.255737747187595
91db7070,1,4073,4073,38.11848996969281,40.80747690976154,2.6889869400687303,32.01206738727671,-32.01206738727671,59.621776537178086
d0cb63ae,4,5223,5223,38.03542397803118,19.937391369771746,-18.098032608259437,34.32332808983269,34.32332808983269,59.038932821163506
65a5466a,1,4683,4683,37.75229497321165,11.991020361693243,-25.761274611518402,32.7478474069107,32.64631750561271,56.08248242196278
03a935ae,0,2786,2786,37.70688060603575,35.05448621305352,-2.652394392982231,33.97247760151893,33.97247760151893,55.676548256561546
2bff06cf,2,7624,7624,34.03258443584178,28.427941006681795,-5.604643429159982,31.57019414930649,-31.57019414930649,50.70631133097959
3417285d,0,5449,5449,33.20074724019796,34.42198868150785,1.2212414413098855,31.477965610700615,-31.474607474970963,43.67836498867837
a8ed028a,2,5538,5538,32.97346649974049,19.044521110452333,-13.928945389288156,30.597931049801737,-30.597931049801737,46.16626935174426
b95e7121,3,6306,6306,32.91359450372903,3.4204599760598935,-29.493134527669135,31.454364578851667,31.454364578851667,42.53073216294979
43e16325,2,3720,3720,32.52215556585074,45.776662453735184,13.254506887884446,24.624605794343026,-24.446038579086576,61.62694543105126
d924e971,0,3184,3184,32.379369816509104,32.7702837302337,0.39091391372459583,25.342718808819345,-25.34171722678852,63.014529247524564
708caea9,2,6548,6548,31.98656784073999,34.916458237909005,2.9298903971690144,29.245857900874256,-28.37167067366648,49.15610509474727
f6d009f4,1,6715,6715,31.680107223358064,47.03924865295554,15.359141429597479,26.04460110810608,-21.494142567855487,61.38821817500043
4f3eb9e9,2,4697,4697,31.60337889635443,33.07892812639342,1.4755492300389896,23.399104101522646,-22.084221142881123,53.128386260947806
