query_well,neighbor_well,rank,l2_dist,anchor_rmse,model_rmse,rmse_diff,hidden_length,trajectory_shape,anchor_blown
727a3a10,58850d2c,1,1.0089275422082802,14.887955622671049,15.428379524744566,-0.5404239020735169,4995,flat_smooth,False
727a3a10,eafb863e,2,1.401996345059848,13.457858083605023,11.431049447896145,2.0268086357088784,3568,flat_smooth,False
727a3a10,beda8696,3,1.6503666561089088,9.819955216289504,13.369883680623852,-3.5499284643343483,5912,flat_smooth,False
727a3a10,2d2d0c6b,4,1.673025161262251,3.045945300727323,5.576570720969371,-2.5306254202420475,5045,flat_smooth,False
727a3a10,27c3155b,5,1.7299153946372816,18.11085336032788,7.38831968449357,10.72253367583431,4958,flat_smooth,False
727a3a10,37344c2a,6,1.7534473646510722,13.239300394199656,12.279815351507894,0.959485042691762,5197,flat_smooth,False
727a3a10,a8ed028a,7,1.7769357075072814,19.044521110452333,32.97346649974049,-13.928945389288156,5538,flat_smooth,False
727a3a10,a0b83014,8,1.8067549478800424,17.51843897699374,18.712126200520736,-1.1936872235269966,5035,flat_smooth,False
727a3a10,53134831,9,1.8099869215038586,17.343954276390388,22.01377430399513,-4.669820027604743,5126,flat_smooth,False
727a3a10,fcfcc902,10,1.8285053126179192,8.80765155445474,8.19624991708993,0.6114016373648106,2791,flat_smooth,False
0390d174,9d072e4c,1,0.9290230566666484,9.990804668905984,11.434298700874525,-1.443494031968541,5107,downward_smooth,False
0390d174,c03d4aed,2,1.0018200596927225,12.583094329136486,10.439231424779301,2.143862904357185,4641,downward_smooth,False
0390d174,0be01c24,3,1.0132237421484116,8.273369324203173,5.98565913398226,2.2877101902209134,4738,downward_smooth,False
0390d174,a4f989c2,4,1.0319341855170268,10.578786672639087,14.241153440914713,-3.6623667682756267,5385,downward_smooth,False
0390d174,c70c0e01,5,1.033019826122027,8.964901066736223,10.833788975725355,-1.868887908989132,4312,downward_curved,False
0390d174,54753541,6,1.121745847358879,16.22277834812335,15.736897058402576,0.4858812897207727,4026,downward_smooth,False
0390d174,7256229b,7,1.1298244025932735,6.6453924693055635,11.626197289543303,-4.980804820237739,5415,downward_curved,False
0390d174,73348914,8,1.1582638076665288,10.691729206195715,5.191865359909125,5.4998638462865905,4221,downward_curved,False
0390d174,5397ceb1,9,1.1756219324120238,9.25091584943266,8.975772918776942,0.2751429306557185,5255,downward_smooth,False
0390d174,5aa03df7,10,1.1790421134510407,6.58601427636249,4.96109685892645,1.6249174174360395,4871,downward_smooth,False
b95e7121,bd8f847e,1,1.6769631043602213,7.389741905257485,9.941339090598456,-2.551597185340971,4961,downward_smooth,False
b95e7121,14ad5efb,2,1.6845896275900931,6.298504340917485,7.6702437135780706,-1.3717393726605858,5842,downward_curved,False
b95e7121,b7cdcecb,3,1.7184086835857295,9.274351431311539,8.555660975011575,0.7186904562999636,6168,downward_smooth,False
b95e7121,8cc800b3,4,1.9468925668866348,13.894631430456734,25.63790280608558,-11.743271375628847,6576,downward_curved,True
b95e7121,5a5269a9,5,2.1314965299094695,5.863105043604518,5.142917158596846,0.7201878850076726,6513,downward_curved,False
b95e7121,6d1d74e1,6,2.1490914095732103,11.887571200184345,12.531049132929818,-0.6434779327454727,5830,downward_smooth,False
b95e7121,e7818f7a,7,2.174874455017764,6.312633342217896,16.058259870069797,-9.7456265278519,5371,downward_smooth,False
b95e7121,ee4aecac,8,2.238915299037296,10.778813139095936,6.724933058697612,4.053880080398324,5265,downward_curved,False
b95e7121,3bbe1f5d,9,2.324615326910489,10.572803005133604,5.957079395483157,4.6157236096504475,6918,downward_smooth,False
b95e7121,944f36b9,10,2.35248007843271,6.513075857645095,5.89974178363829,0.6133340740068052,4630,downward_smooth,False
