tw_sig,group_size,n_folds_spanned,mean_d_rmse
05f7050f0fa6275f3a735fdb90ad2e68,10,5,0.6467182518569043
0f61552eb33a725c240121ba3e76e628,2,2,-1.4347703949604234
518efb4b10f4fde10094406c26acba1f,2,1,-0.29407744446211037
5e17a343476b225c39af9bc059e2de26,2,2,2.0004385996711576
63e78367f2b815271a0ee5d0351ccf11,2,2,1.4047719134626253
73d3521108e6c9b7f65f1504e38a984a,2,2,-0.7790405494960218
7dad674dcebd1015ce4a00b711176821,2,2,-0.8697490367072214
8b449699565f0091ce21d1e3b512dc64,2,2,-2.3556037012450535
afeb8ef66baa6b81431134d671ff2b90,2,1,-0.7561504527510889
dad216351ab21f8a4e2f6db96ddf6f21,2,2,-1.5663370330710302
e55a7b56101f0d67ea4ebe596419c3d4,2,2,-0.19737744428302317
e6a2a7115455dfe30d17c2bc4a359955,2,2,0.3110868532840567
ea41f5a515b1be60c024638a8a129d27,2,1,-1.7917939708226802
