method,w,rmse,delta
mean,101,13.520383208010523,0.004806251224611202
mean,71,13.521387762865984,0.003801696369150065
mean,51,13.522253141068996,0.0029363181661388182
savgol,101,13.523017679127992,0.0021717801071421405
mean,31,13.523270445077756,0.0019190141573783848
median,101,13.523502775762543,0.0016866834725917101
savgol,71,13.523639831310975,0.00154962792415958
mean,21,13.523835135038498,0.0013543241966367248
savgol,51,13.524053760830085,0.0011356984050490126
mean,15,13.524193976325233,0.0009954829099019236
median,71,13.524280813812082,0.0009086454230526897
mean,11,13.524442587624078,0.0007468716110565765
savgol,31,13.524485458676406,0.0007040005587288789
median,51,13.524496237942662,0.0006932212924724013
median,31,13.524670717908608,0.0005187413265268503
mean,7,13.524702242602698,0.000487216632436116
savgol,21,13.52470292149892,0.000486537736215098
savgol,15,13.524837490400484,0.0003519688346500516
mean,5,13.52483850623175,0.00035095300338383595
median,21,13.524864836881665,0.000324622353469195
savgol,11,13.524930862599826,0.0002585966353088054
median,15,13.52499782792218,0.00019163131295485414
savgol,7,13.525031036255928,0.00015842297920620751
savgol,5,13.525090974688524,9.848454661032235e-05
median,11,13.525110540154808,7.891908032675587e-05
median,7,13.525131391702224,5.8067532910044406e-05
median,5,13.52514585381497,4.3605420165349074e-05
