feature,gain
dZ_dMD_from_ps,704172993.9837395
last_known_Y,317780431.29365236
pre_ps_dZ_dMD,237370550.46137008
known_length,226821599.7350586
f_extrap_quad_dMD,211201518.74711305
Y,202338668.50463867
f_dtvt_dz_r2,193309816.32964784
f_dtvt_dz_pre,189561998.22379074
pre_ps_tvt_slope_last5,186620273.12119752
X,184984248.1344963
pre_ps_tvt_curvature,177531039.22272262
delta_X_from_PS,163731482.46535188
f_extrap_slope5_dMD,152648114.4644127
pre_ps_tvt_slope_last20,142277928.4416458
pre_ps_gr_available_frac,129763823.1915184
h_cal_b,126234365.93622895
pre_ps_dX_dMD,122181272.9452652
Z,121586205.22115783
pre_ps_dY_dMD,120935374.50415039
f_extrap_slope20_dMD,118158606.47460023
pre_ps_gr_last20_mean,113877320.4937973
h_align_gain,112084675.34875488
n_rows_in_well,111482978.18543854
pre_ps_gr_mean,107594174.98864594
h_cal_a,106066037.28457566
last_known_MD,105159702.8505249
delta_Y_from_PS,105108598.01952668
pre_ps_horiz_dMD,102828028.33340302
h_tw_corr,100481652.57484666
pre_ps_gr_std,100050730.12559967
last_known_X,96097217.01688233
last_known_TVT,95795369.23095092
pre_ps_gr_trend,94802324.83945923
delta_Z_from_PS,92728815.01098709
f_extrap_z,89980014.39265366
f_extrap_disagree,87717781.6361618
hidden_length,81641127.25752334
last_known_Z,80431435.8438507
hidden_frac,75764093.02140503
kh_ratio,73130955.67697906
dY_dMD_from_ps,70598411.23707505
f_dtvt_dmd_l50,70250906.67132492
h_align_offset,68497156.90961532
pre_ps_azimuth,60543954.28624268
azimuth_from_ps,60394171.16182327
row_frac,60373949.44221802
dX_dMD_from_ps,59686416.725315854
MD,57919506.88731613
horiz_disp_from_ps,28007749.561705016
delta_MD_from_PS,26742718.870259095
pre_ps_tvt_delta_last20,18264077.514312744
post_ps_step,8916343.13362732
gr_rolling_mean_w50,6362552.248168183
gr_rolling_mean_w20,1263057.9378433228
h_gr_resid_at_geom,190443.52102737426
gr_rolling_std_w20,161022.83045959473
gr_vs_pre_ps_mean,86176.97106933594
GR,63196.10020904541
gr_z_score,39025.32738952637
h_local_offset,8269.658161926269
is_gr_missing,0.0
